"
Glossary of ESP32forth v7.0.5.4 -  up to v7.0.619",,,,"last updated
July 2022"
103,forget,"( ""name"" -- )","find the word that follows in the input stream; if it exists in the current dictionary, remove it and all words that followed it from the dictionary and the corresponding compiled code",forth
104,here,( -- addr ),"returns the address of the first free location above the code dictionary, where new words are compiled",forth
105,only,( -- ),"Reset context stack to one item, the FORTH dictionary",forth
106,transfer,"( ""name"" -- )","Move a word from its current dictionary to the current vocabulary. Useful for ""hiding"" helper words that aren't useful in normal programming",forth
107,transfer{,( -- ),Move all the words that follow in the input stream up until a terminating } to the current vocabulary. All the words must have been defined beforehand,forth
108,,,,
109,,,,
110,Exceptions,,,VOCABULARY
111,,,,
112,assert,( f -- ),"if flag f=true, execute throw",forth
113,catch,( ca -- err# | 0 ),sets up a local error frame on the return stack and executes the word referenced by the execution word ca. It returns a non-zero error code or a zero if no error occurred,forth
114,handler,( -- addr ),holds the return stack pointer for error handling - zero if no error occurred.,forth
115,throw,( err# -- err# ),throws the system back to 'catch' so that the error condition can be processed. 'Catch' is backtracked by restoring the return stack from the pointer stored in 'handler' and popping the old handler and SP off the error frame on the return stack.,forth
116,,,,
117,,,,
118,Files,,,VOCABULARY
,,,,
121,CLOSE-FILE,( fh -- ior ) ior= Input Output Result,Close the file identified by fileid. ior is the implementation-defined I/O result code.,forth
122,CREATE-FILE,( a n mode -- fh ior )  ( c-addr u mode-- fh ior )  ,"Create the file named in the character string specified by c-addr and u, and open it with file access method.   If a file with the same name already exists, recreate it as an empty file. see B901 Typical use:
 : Test ( --fh)  s"" /spiffs/myprogram.fs""   R/W  CREATE-FILE  IF ."" CREATE-FILE FAILED""  -1 throw THEN   ;  ",forth
123,DELETE-FILE,( a n -- ior ) ( c-addr u -- ior ),Delete the file named in the character string specified by c-addr u. ior is the implementation-defined I/O result code.,forth
124,FILE-POSITION,( fh -- n ior ) ( fileid -- ud ior ),ud is the current file position for the file identified by fileid. ior is the implementation-defined I/O result code. ud is undefined if ior is non-zero.,forth
125,FILE-SIZE,( fh -- n ior ) ( fileid -- ud ior ),"ud is the size, in characters, of the file identified by fileid. ior is the implementation-defined I/O result code. This operation does not affect the value returned by FILE- POSITION. ud is undefined if ior is non-zero.",forth
126,FLUSH-FILE,( fileid -- ior ),"Attempt to force any buffered information written to the file referred to by fileid to be written to mass storage, and the size information for the file to be recorded in the storage directory if changed. If the operation is successful, ior is zero. Otherwise, it is an implementation-defined I/O result code.",forth
127,include,"( ""name"" -- )","Using the next word in the input stream, name ...",forth
128,INCLUDED,"( a n -- ) ( i * x c-addr u -- j * x ) Typical use: ... S"" filename"" INCLUDED ... ","Remove c-addr u from the stack. Save the current input source specification, including the current value of SOURCE-ID. Open the file specified by c-addr u, store the resulting fileid in SOURCE-ID, and make it the input source. Store zero in BLK. Other stack effects are due to the words included.",forth
129,OPEN-FILE,"( a n mode -- fh ior )  Typical use:
   : Test ( --fh)  s"" /spiffs/myprogram.fs""   R/W  OPEN-FILE  IF ."" OPEN-FILE FAILED""  -1 throw THEN   ;","Open the file named in the character string specified by c-addr u, with file access method indicated by fam. The meaning of values of fam is implementation defined.

If the file is successfully opened, ior is zero, fileid is its identifier, and the file has been positioned to the start of the file.

Otherwise, ior is the implementation-defined I/O result code and fileid is undefined.",forth
,,,,
130,R/O,( -- mode ),read only mode - used with OPEN-FILE,forth
131,R/W,( -- mode ),read write mode - used with OPEN-FILE,forth
142,W/O,( -- mode ),write only mode - used with OPEN-FILE,forth
120,BIN,( mode1 -- mode2 ),"Modify the implementation-defined file access method mode1 to additionally select a ""binary"", i.e., not line oriented, file access method, giving access method mode2.",forth
132,READ-FILE,( a n fh -- n ior )         ( c-addr u1 fileid -- u2 ior ),"Read u1 consecutive characters to c-addr from the current position of the file identified by fileid.

If u1 characters are read without an exception, ior is zero and u2 is equal to u1.

If the end of the file is reached before u1 characters are read, ior is zero and u2 is the number of characters actually read.

If the operation is initiated when the value returned by FILE-POSITION is equal to the value returned by FILE-SIZE for the file identified by fileid, ior is zero and u2 is zero.

If an exception occurs, ior is the implementation-defined I/O result code, and u2 is the number of characters transferred to c-addr without an exception.",forth
133,remember,( -- ),Save a snapshot to the default file (./myforth or /spiffs/myforth on ESP32),forth
134,REPOSITION-FILE,( n fh -- ior )   ( ud fileid -- ior ),"Reposition the file identified by fileid to ud. ior is the implementation-defined I/O result code. An ambiguous condition exists if the file is positioned outside the file boundaries.
At the conclusion of the operation, FILE-POSITION returns the value ud.",forth
135,reset,( -- ),Reset removes the custom message,forth
136,RESET ,( -- ), Delete the default filename.,forth
137,RESIZE-FILE,( ud fileid -- ior ),"Set the size of the file identified by fileid to ud. ior is the implementation-defined I/O result code.
If the resultant file is larger than the file before the operation, the portion of the file added as a result of the operation might not have been written.
At the conclusion of the operation, FILE-SIZE returns the value ud and FILE- POSITION returns an unspecified value.",forth
138,restore,"( ""name"" -- )",Restore a snapshot from a file,forth
139,revive,( -- ),Restore the default filename,forth
140,save,"( ""name"" -- )",Saves a snapshot of the current dictionary to a file,forth
141,startup:,"( ""name"" -- )","Save a snapshot to the default file arranging for ""name"" to be run on startup SEE EXAMPLE B743",forth
143,WRITE-FILE,( a n fh -- ior )                         ( c-addr u fileid -- ior ),"Write u characters from c-addr to the file identified by fileid starting at its current position. ior is the implementation-defined I/O result code.
At the conclusion of the operation, FILE-POSITION returns the next file position after the last character written to the file, and FILE-SIZE returns a value greater than or equal to the value returned by FILE-POSITION.",forth
144,,,,
145,,,,
146,Input / Output,,,VOCABULARY
147,,,,
148,adc,( pin# -- n ),alias for analogRead - see example below,forth
149,analogRead,( pin -- n ),Analog read from 0-4095,forth
150,dacWrite,( pin 0-255 -- ),"Write to DAC (pin 25, 26)",forth
151,digitalRead,( pin -- value ),Read GPIO state - see example below,forth
152,digitalWrite,( pin value -- ),Set GPIO pin state,forth
153,pin,( value pin# -- ),"Set GPIO pin value e.g.
HIGH 3 pin LOW 3 pin - see example below",forth
154,pinMode,( pin mode -- ),"Set GPIO pin mode e.g.
14 input pinMode    \ set pin 14 as input",forth
155,pulseIn,( pin value usec -- usec/0 ),Wait for a pulse,forth
156,tone,( channel freq ),Write tone frequency,forth
157,,,,
158,,,,
159,Interrupts,,,VOCABULARY
160,,,,
161,timer_isr_register,( group timer xt arg ret -- 0/err ),,forth
162,esp_intr_alloc,( source flags xt args handle* -- 0/err ),,interrupts
163,ESP_INTR_FLAG_DEFAULT,( -- 0 ),Default handler allows per pin routing,interrupts
164,ESP_INTR_FLAG_EDGE,( -- 512 ),gpio_install_isr_service flag,interrupts
165,ESP_INTR_FLAG_INTRDISABLED,( -- 2048 ),gpio_install_isr_service flag,interrupts
166,ESP_INTR_FLAG_IRAM,( -- 1024 ),gpio_install_isr_service flag,interrupts
167,ESP_INTR_FLAG_LEVELn,( n1 -- n2 ),"n2 = 2 to the power n1, gpio_install_isr_service",interrupts
168,ESP_INTR_FLAG_NMI,( -- 128 ),gpio_install_isr_service flag,interrupts
169,ESP_INTR_FLAG_SHARED,( -- 256 ),gpio_install_isr_service flag,interrupts
170,esp_intr_alloc,,,interrupts
171,esp_intr_free,( handle -- 0/err ),,interrupts
172,gpio_config,( gpio_config_t* -- 0/err ),"GPIO common configuration. Configure GPIO’s Mode,pull-up,PullDown,IntrType from a GPIO configure structure gpio_config_t",interrupts
173,gpio_deep_sleep_hold_dis,( -- ),Disable all digital gpio pad hold function during Deep-sleep,interrupts
174,gpio_deep_sleep_hold_en,( -- ),"Enable all digital gpio pad hold function during Deep-sleep. When the chip is in Deep-sleep mode, all digital gpio will hold the state before sleep, and when the chip is woken up, the status of digital gpio will not be held. Note that the pad hold feature only works when the chip is in Deep-sleep mode, when not in sleep mode, the digital gpio state can be changed even you have called this function. Power down or call gpio_hold_dis will disable this function, otherwise, the digital gpio hold feature works as long as the chip enter Deep-sleep",interrupts
175,gpio_get_drive_capability,( pin cap* -- 0/err ),,interrupts
176,gpio_get_level,( pin -- level ),GPIO get input level of 'pin',interrupts
177,gpio_hold_dis,( pin -- 0/err ),,interrupts
178,gpio_hold_en,( pin -- 0/err ),,interrupts
179,gpio_install_isr_service,( a -- ),"a = combination of gpio_install_isr_service flags - Install the driver’s GPIO ISR handler service, which allows per-pin GPIO interrupt handlers",interrupts
180,#GPIO_INTR_ANYEDGE,( -- 3 ),"constant - set interrupt for either +ve or -ve edge
e.g. 2 #GPIO_INTR_ANYEDGE gpio_set_intr_type - see example below",interrupts
181,#GPIO_INTR_DISABLE,( --  0 ),"constant - disable interrupt
e.g. 2 #GPIO_INTR_DISABLE gpio_set_intr_type",interrupts
182,gpio_intr_disable,( pin -- 0/err ),Disable GPIO module interrupt signal for 'pin',interrupts
183,gpio_intr_enable,( pin -- 0/err ),Enable GPIO module interrupt signal for'pin',interrupts
184,#GPIO_INTR_HIGH_LEVEL,( -- 5 ),constant - e.g. 2 #GPIO_INTR_HIGH_LEVEL gpio_set_intr_type,interrupts
185,#GPIO_INTR_LOW_LEVEL,( -- 4 ),constant - e.g. 2 #GPIO_INTR_LOW_LEVEL gpio_set_intr_type,interrupts
186,#GPIO_INTR_NEGEDGE,( -- 2 ),"constant - set interrupt on -ve edge
e.g. 2 #GPIO_INTR_NEGEDGE gpio_set_intr_type",interrupts
187,#GPIO_INTR_POSEDGE,( -- 1 ),"constant - set interrupt on +ve edge
e.g. 2 #GPIO_INTR_POSEDGE gpio_set_intr_type",interrupts
188,gpio_isr_handler_add,pin xt 0 -- 0/err ),"Having already set up the interrupt type, attach a new entry to the interrupt list, so that when the entry fires, the execution token 'xt' is called. If adding this entry was successful return true, else return an error code e.g.
2 ' myinterrupthandlerword 0 gpio_isr_handler_add",interrupts
189,gpio_isr_handler_remove,( pin -- 0/err ),Remove ISR handler for the corresponding GPIO pin,interrupts
190,gpio_pulldown_dis,( pin -- 0/err ),Disbale pull down load on 'pin',interrupts
191,gpio_pulldown_en,( pin -- 0/err ),Enable pull down load on 'pin',interrupts
192,gpio_pullup_dis,( pin -- 0/err ),Disable pull up load on 'pin',interrupts
193,gpio_pullup_en,( pin -- 0/err ),Enable pull up load on 'pin',interrupts
194,gpio_reset_pin,( pin -- 0/err ),"Reset a gpio to default state (select gpio function, enable pullup and disable input and output)",interrupts
195,gpio_set_direction,( pin mode -- 0/err ),Set gpio signal direction of 'pin',interrupts
196,gpio_set_drive_capability,( pin cap -- 0/err ),Set GPIO pad 'pin' drive capability or strength 'cap',interrupts
197,gpio_set_intr_type,( pin type -- 0/err ),"Set the required i/o pin to the interrupt type, returning true if successful, else an error code",interrupts
198,gpio_set_level,( pin level -- 0/err ),GPIO set the output level pf 'pin' =1 or 0,interrupts
199,gpio_set_pull_mode,( pin mode -- 0/err ),Configure GPIO 'pin' pull-up/pull-down resistors by means of 'mode'. GPIO 34-39 don't have this facility,interrupts
200,gpio_uninstall_isr_service,( -- ),"Uninstall the driver’s GPIO ISR service, freeing related resources",interrupts
201,gpio_wakeup_disable,( pin -- 0/err ),Disable GPIO wake-up function on 'pin',interrupts
202,gpio_wakeup_enable,( pin type -- 0/err ),Enable GPIO wake-up function on 'pin' - only type #GPIO_INTR_LOW_LEVEL or #GPIO_INTR_HIGH_LEVEL can be used,interrupts
203,pinchange,( xt pin -- ),"Call xt when pin changes e.g. 
17 input pinMode
: test ."" pinvalue: "" 17 digitalRead . cr ;
' test 17 pinchange",interrupts
204,,,,
205,,,,
206,LED control - pulse width modulation,,,VOCABULARY
207,,,,
208,duty,( channel duty -- ),"like ledcWrite, with bounds check and scaling i.e.
: duty 255 min 8191 255 */ ledcWrite ;",forth
209,freq,( channel freq -- ),"like ledcSetup, with scaling i.e.
: freq ( n n -- ) 1000 * 13 ledcSetup drop ;",forth
210,ledcAttachPin,( pin channel -- ),Assigns which 'channel' (0-15) of the PWM engine the 'pin' is connected to,ledc
211,ledcDetachPin,( pin -- ),Detaches #pin' from the pwm engine,ledc
212,ledcRead,( channel -- n ),Read the current dutycycle setting for 'channel',ledc
213,ledcReadFreq,( channel -- freq ),"Get frequency (x 1,000,000)",ledc
214,ledcSetup,( channel freq resolution -- freq ),Setup one of the 16 pwm channels (0-15) at frequency=freq*1000 Hz  with 'resolution',ledc
215,ledcWrite,( channel duty -- ),Set 'channel'  (0-15) at 'duty' level (0-100),ledc
216,ledcWriteNote,( channel note octave -- freq ),"channel 0-12, octave 0-8, note 0-12
(note is as per the western musical scale)",ledc
217,ledcWriteTone,( channel freq -- n ),"Write tone frequency (x 1000) e.g.
23 0 ledcAttachPin    \ attach GPIO23 to channel 0
0 1000000 ledc WriteTone drop \ o/p 1kHz tine",ledc
218,,,,
219,,,,
220,Logic,,,VOCABULARY
221,,,,
222,AND,( n1 n2 – n3 ),n3 = n1 AND n2 (bit wise),forth
223,invert,,,forth
224,LSHIFT,( x1 u -- x2 ),"Perform a logical left shift of u bit-places on x1, giving x2. Put zeroes into the least significant bits vacated by the shift. An ambiguous condition exists if u is greater than or equal to the number of bits in a cell.",forth
225,OR,( n1 n2 – n3 ),n3 = n1 OR n2 ( bit-wise ),forth
226,RSHIFT,( x1 u -- x2 ),"Perform a logical right shift of u bit-places on x1, giving x2. Put zeroes into the most significant bits vacated by the shift. An ambiguous condition exists if u is greater than or equal to the number of bits in a cell.",forth
227,XOR,( n1 n2 -- n3 ),n3 = n1 XOR n2 ( bit-wise),forth
228,,,,
229,,,,
230,Looping,,,VOCABULARY
231,,,,
232,?do,( n1 n2 -- ),"e.g. : test ?do i . loop ;
if n1 = n2, then inside ?do .. loop is NOT executed
if n1 <> n2, it behaves like do .. loop",forth
233,+loop,( n -- ),e.g. : +looptest 20 0 do i . 2 +loop ; results when run in 0 2 4 6 8 10 12 14 16 18 being displayed,forth
234,again,( -- ),begin <forth words> again,forth
235,begin,( -- ),"begin <forth words> until
",forth
236,do,( n1 n2 -- ),": test 10 4 do i . loop ; produces
4 5 6 7 8 9 on the display",forth
237,EXIT,( -- ),"Return control to the calling definition. Before executing EXIT within a do-loop, a program shall discard the loop-control parameters by executing 'unloop'",forth
238,for,( n -- ),": test 10 for i . next ; 
produces 10 9 8 7 6 5 4 3 2 1 0 on display
n.b. n will make the for loop run n+1 times by design",forth
239,i,( -- n ),Place current loop index on top of stack,forth
240,j,( -- n ),Place index count for next outer lop top of stack,forth
241,leave,( -- ),Force do loop termination,forth
242,loop,( -- ),part of do <forth words> loop construct,forth
243,next,( -- ),part of for <forth words> next construct,forth
244,repeat,( -- ),part of begin <forth words that leave f on the stack> while < more forth words> repeat,forth
245,unloop,( -- ),"Discard the loop-control parameters for the current nesting level e.g. Typical use:
: unlooptest <limit> <first> DO  ... test IF ... UNLOOP EXIT THEN ... LOOP ... ; - see example below",forth
246,until,( f -- ),begin <forth words that leave f on stack> until,forth
247,while,( f -- ),part of begin <forth words that leave f on the stack> while < more forth words> repeat,forth
248,,,,
249,,,,
250,Maths,,,VOCABULARY
251,,,,
252,-,( n1 n2 -- n3 ),n3 = n1 - n2,forth
253,*,( n1 n2 -- n3 ),n3 = n1 * n2,forth
254,*/,( n1 n2 n3 -- n4 ),Multiply n1 by n2 producing the intermediate double-cell result d. Divide d by n3 giving the single-cell quotient n4,forth
255,*/MOD,( n1 n2 -n3 -- n4 n5 ),Multiply n1 by n2 producing the intermediate double-cell result d. Divide d by n3 producing the single-cell remainder n4 and the single-cell quotient n5,forth
256,/,( n1 n2 -- n3 ),"Divide n1 by n2, giving the single-cell quotient n3",forth
257,/mod,( n1 n2 -- n3 n4 ),"Divide n1 by n2, giving the single-cell remainder n3 and the single-cell quotient n4",forth
258,+,( n1 n2 -- n3 ),n3 = n1 + n1,forth
259,2*,( n1 -- n2 ),n2 = n1 * 2,forth
260,2/,( n1 -- n2 ),n2 = n1 / 2,forth
261,4*,( n1 -- n2 ),n2 = n1 * 4,forth
262,4/,( n1 -- n2 ),n2 = n1 / 4,forth
263,abs,( n1 -- n2 ),n2 is the absolute value of n1,forth
264,max,( n1 n2 -- n3 ),n3 = the larger of n1 or n2,forth
265,min,( n1 n2 – n3 ),n3 = the smaller of n1 or n2,forth
266,mod,( n1 n2 – n3 ),"Divide n1 by n2, giving the single-cell remainder n3",forth
267,negate,( n – -n ),Two's complement of top of stack,forth
268,U/MOD,( u1 u2 -- rem quot ),"Unsigned division, leaving remainder and quotient",forth
269,1+,( n-- n+1 ),increment value on the stack by 1 ,forth
270,1-,( n-- n1- ),decrement value on the stack by 1 ,forth
271,,,,
272,Memory,,,VOCABULARY
273,,,,
274,!,( n addr --> ),store x at addr,forth
275,@,( addr --n ),Retrieves the integer value n stored at address addr,forth
276,+!,( n addr -- ),Increments the content of a variable by the value n,forth
277,+to,"( n ""valuename"" -- )","Adds n to the value whose name follows in the input stream e.g.
2 value myvalue   \ define a value called myvalue = 2
3  +to myvalue     \ myvalue now equals 5",forth
278,to,( n -- ),"Change a value e.g.
10 value myvalue  \ set up myvalue = 10
5 to myvalue         \ myvalue now returns 5",forth
279,2!,( n1 n2  addr --> ),"store n1, n2 as a 64 bit value at addr",forth
280,2@,( addr --n1 n2 ),"read n1, n2 as a 64 bit value from addr",forth
281,C!,( c addr --> ),store byte c at addr,forth
282,C@,( addr --c ),read byte c from addr,forth
283,allocate,( n -- a ior ),"reserve a memory chunk of n bytes, returns the start address, ior=0 (No error) if successful, else   -1 =ERROR see also free and resize",forth
284,cell/,( n1 -- n2 ),n2 = n1 / 4,forth
285,cell+,( n1 -- n2 ),n2 = n1 + 4,forth
286,cells,( -- 4 ),"constant, returns 4 - the number of bytes ina cell",forth
287,cmove,( addr1 addr2 n -- ),"move n bytes from addr1 to addr2, starting at addr1 and proceeding toward high memory",forth
288,cmove>,( addr1 addr2 n -- ),"copy n bytes from memory starting at c-addr1 to that starting at c-addr2, proceeding from higher addresses to lower addresses",forth
289,fill,( addr n c ),fill memory from addr for n bytes with byte c,forth
290,free,( a --  ),free memory previously reserved allocate - see also resize,forth
291,L!,( n addr -- ),write n to addr in real ESP32 memory space ,forth
292,L@,( addr --n ),read n from real ESP32 memory space,forth
293,resize,( a n -- a ior ),"ior=0 (NO Error)  if a memory chunk reserved with MALLOC resized to n bytes correctly, else ior=-1 in case of ERROR - see also allocate and free",forth
294,,,,
295,,,,
296,Number I/O,,,VOCABULARY
297,,,,
298,?,( addr -- ),display value at addr,forth
299,.,( n – ),display top of stack,forth
300,#,( ud1 -- ud2 ),Convert next digit of ud1 and HOLD it,forth
301,#>,( ud -- addr n ),Drop ud and prepare string for TYPE,forth
302,#s,( ud -- 0 0 ),Convert and HOLD all remaining significant digits,forth
303,<#,( --  ),Begin a formatted number conversion,forth
304,base,( -- addr ),Stores the current number display base - defaults to 10 decimal,forth
305,binary,( – ),Set current number base to 2 decimal,forth
306,decimal,( – ),Set current number base to 10 decimal,forth
307,extract,( n base -- n c ),extracts the least significant digit from a number n. n is divided by the radix in BASE and returned on the stack,forth
308,hex,( – ),Set current number base to 16 decimal,forth
309,hold,( c -- ),Insert character into formatted string,forth
310,n.,( n -- ),"display n in decimal, regardless of current number base",forth
311,octal,( -- ),Set current number base to 8 decimal,forth
312,pad,( -- addr ),returns the address of the text buffer where numbers are constructed and text strings are stored temporarily,forth
313,sign,(n ud -- ud ),HOLD minus sign only if n is negative,forth
314,u.,( n -- ),display n in the current number base,forth
315,,,,
316,,,,
317,,,,
318,Registers,,,VOCABULARY
319,,,,
320,m!,,,registers
321,m@,,,registers
322,,,,
323,,,,
324,SD card,,,VOCABULARY
326,These words allow use of an SDcard over SPI.,,,
327,SD.begin ,( -- ok ),"uses all the defaults ""/sd"" etc.",SD 
328,SD.beginDefaults,"( -- sspin SPIClass frequency mountpointsz maxfiles format_if_empty )
(    SS          SPI        4000000          ""/sd""                5                  false          )",,SD 
330,SD.beginFull,( sspin    SPIClass  frequency  mountpoint     maxfiles format_if_empty   --   ok ),,SD 
331,SD.end ,( -- ),,SD 
332,SD.cardType ,( -- n ),,SD 
333,SD.totalBytes ,( -- n ),,SD 
334,SD.usedBytes ,( -- n ),,SD 
335,,,,
336,SD_MMC card,,,VOCABULARY
337,,,,
338,SD_MMC.begin,( mount mode1bit ),default mode1bit=false,SD_MMC
339,SD_MMC.cardType,( -- n ),,SD_MMC
340,SD_MMC.end,( -- ),,SD_MMC
341,SD_MMC.totalBytes,( -- n ),,SD_MMC
342,SD_MMC.usedBytes,( -- n ),,SD_MMC
343,,,,
344,,,,
345,Serial communication,,,
346,,,,
347,Serial.available,( -- f ),Get the number of bytes (characters) available for reading from the serial port. This is data that’s already arrived and stored in the serial receive buffer (which holds 64 bytes),serial
348,Serial.begin,( baud -- ),Start serial port. Sets the data rate in bits per second (baud) for serial data transmission,serial
349,Serial.end,( -- ),"Disables serial communication, allowing the RX and TX pins to be used for general input and output. To re-enable serial communication, call Serial.begin",serial
350,Serial.flush,( -- ),Waits for the transmission of outgoing serial data to complete,serial
351,Serial.readBytes,( a length -- n ),"Serial.readBytes reads characters from the serial port into a buffer, address a. The function terminates if the determined length has been read. The number of bytes, n is returned",serial
352,Serial.write,( a n -- n ),Writes n bytes of data to the serial port from buffer at address a,serial
,,,,
352,the same  SERIAL words are available for SERIAL PORT2 ,,,serial
,"for example Serial2.write, Serial2.Begin, Serial2.readbytes, Serial2.flush  etc etc...",,,
354,,,,
355,Sockets,,N.B. These words are for v7.0.7.2 onwards,VOCABULARY
356,,,,
357,->addr@,( a -- n ),get big-endian address from sockaddr,sockets
,->addr!,( n a -- ),set big-endian address in sockaddr,
358,->h_addr,,,sockets
359,->port!,( n a -- ),set port in sockaddr,sockets
